0.93,0.97,0.98,0.83,0.9,0.98,0.87,0.99,0.98,0.9,0.9,0.95,0.71,0.92,0.99,0.98,1.0,0.99,0.86,0.97,0.99,0.7,0.98,0.85,0.93,0.92,0.96,0.95,1.0,0.99,0.63,0.99
0.88,0.96,0.95,0.94,0.78,1.0,0.72,0.99,0.99,0.53,0.75,0.87,0.59,0.77,0.72,0.96,0.85,0.97,0.93,0.74,0.99,0.82,0.88,0.91,0.94,0.88,1.0,0.75,0.97,0.96,0.63,0.98
0.99,0.94,0.99,0.93,0.83,0.94,0.61,0.99,0.75,1.0,0.47,0.9,0.98,0.89,0.45,0.78,1.0,1.0,0.94,0.94,0.98,0.57,0.99,0.74,0.99,0.76,0.98,0.59,0.86,1.0,0.76,1.0
0.95,0.91,0.94,0.52,1.0,0.72,0.63,0.98,0.94,0.78,0.8,1.0,0.78,0.68,0.58,0.59,0.64,1.0,0.73,0.81,0.85,0.98,0.75,0.63,0.66,0.95,1.0,0.47,1.0,0.77,0.83,0.8
0.78,0.93,0.91,0.9,0.92,0.67,0.9,0.93,0.98,0.53,0.6,0.98,0.77,0.88,0.81,0.87,0.91,0.97,0.85,0.9,0.99,0.97,0.93,0.95,0.96,0.77,1.0,0.48,0.86,0.8,0.88,0.92
0.95,0.99,0.94,0.85,0.85,0.8,0.81,0.98,0.97,0.9,0.77,0.99,0.72,0.97,0.97,0.97,0.81,0.99,0.77,0.98,0.98,0.6,0.79,0.83,0.75,0.69,0.98,0.48,0.78,0.81,0.83,0.77
0.91,1.0,0.91,0.97,0.95,0.75,0.71,0.99,0.93,0.77,0.52,0.94,0.91,0.98,0.58,0.73,0.68,1.0,0.77,0.92,0.98,0.97,0.55,0.41,0.89,0.64,0.97,0.57,0.75,0.67,0.73,0.9
0.92,0.98,0.85,0.73,0.87,0.87,0.74,0.96,0.98,0.86,0.85,0.98,0.82,0.96,0.85,0.89,0.94,0.97,0.92,0.94,0.99,0.88,0.77,0.84,0.88,0.76,0.96,0.9,0.97,0.92,0.71,0.92
1.0,0.95,0.7,0.83,0.81,0.85,0.66,0.98,0.93,0.92,0.93,0.95,0.95,0.96,0.77,0.92,0.68,1.0,0.93,0.91,0.96,0.74,0.86,0.93,0.9,0.83,0.97,0.96,0.94,0.73,0.63,0.74
0.85,0.97,0.97,0.87,0.96,0.8,0.66,1.0,0.99,0.89,0.85,0.99,0.96,0.9,0.98,0.94,0.94,0.99,0.97,0.97,1.0,0.89,0.96,0.94,0.83,0.81,0.98,0.55,0.95,0.65,0.95,0.92
1.0,0.88,0.93,0.69,0.91,0.95,0.95,0.98,0.96,0.64,0.77,0.98,0.95,0.93,1.0,0.82,0.9,1.0,0.85,0.98,0.96,0.84,0.88,0.83,0.89,0.77,1.0,0.87,0.96,0.61,0.72,0.8
0.96,0.98,0.96,0.97,0.98,0.88,0.67,0.98,0.95,0.96,1.0,0.99,0.71,0.93,0.71,0.85,0.82,1.0,0.81,0.9,1.0,0.88,0.95,0.7,0.76,0.89,0.92,0.89,0.86,0.91,0.89,0.92
0.91,0.95,0.85,0.81,0.98,0.91,0.48,0.99,0.91,0.95,0.95,0.97,0.6,0.65,0.92,0.92,0.74,0.96,0.54,0.95,0.89,0.49,0.88,0.93,0.94,0.56,0.96,0.99,0.96,0.8,0.66,0.95
0.97,1.0,0.95,0.74,0.62,0.75,0.59,0.97,0.91,0.97,0.94,0.98,0.69,0.67,0.83,0.55,0.49,1.0,0.83,0.86,0.96,0.74,0.92,0.61,0.97,0.75,0.95,0.69,0.94,0.73,0.81,0.96
0.89,0.91,0.98,0.64,1.0,0.9,0.73,0.99,0.89,0.89,0.76,0.97,0.71,0.95,0.71,0.6,0.79,0.94,0.6,0.83,0.98,0.8,0.65,0.54,0.94,0.82,1.0,0.98,0.84,0.64,0.66,0.96
0.91,0.96,0.97,0.77,0.97,0.77,0.87,0.99,0.98,0.78,0.93,0.89,0.76,0.98,0.86,0.75,0.77,0.98,0.99,0.88,0.9,0.84,0.96,0.93,0.94,0.94,0.98,0.89,0.98,0.95,0.6,0.99
0.92,0.97,0.85,0.93,0.87,0.86,0.93,0.98,0.97,0.7,0.91,0.98,0.59,0.85,0.84,0.63,0.63,0.99,0.98,0.92,0.99,0.57,0.72,1.0,0.68,0.62,0.98,0.63,0.93,0.73,0.74,0.93
0.91,0.98,0.99,1.0,0.81,0.83,0.7,0.9,0.99,0.71,0.85,0.96,0.68,1.0,0.93,0.7,0.95,0.99,0.82,0.96,0.98,0.74,0.96,0.75,0.96,0.87,0.97,0.94,0.82,0.98,0.73,0.99
