0.7,0.69,0.68,0.73,0.71,0.68,0.76,0.65,0.66,0.73,0.66,0.73,0.67,0.71,0.81,0.63,0.75,0.68,0.74,0.76,0.7,0.78,0.73,0.75,0.75,0.73,0.74,0.77,0.69,0.75,0.76,0.78
0.45,0.52,0.43,0.54,0.66,0.56,0.59,0.58,0.49,0.59,0.64,0.62,0.57,0.47,0.61,0.66,0.69,0.56,0.65,0.54,0.45,0.65,0.53,0.58,0.5,0.43,0.53,0.56,0.58,0.66,0.6,0.62
0.54,0.61,0.5,0.51,0.63,0.55,0.5,0.58,0.46,0.56,0.62,0.59,0.63,0.54,0.6,0.59,0.54,0.59,0.59,0.6,0.54,0.56,0.53,0.6,0.53,0.47,0.58,0.48,0.6,0.53,0.59,0.57
0.59,0.44,0.67,0.49,0.61,0.53,0.52,0.52,0.49,0.56,0.55,0.52,0.53,0.59,0.6,0.49,0.54,0.52,0.61,0.52,0.58,0.6,0.57,0.52,0.5,0.59,0.44,0.63,0.6,0.59,0.51,0.55
0.46,0.54,0.47,0.46,0.4,0.58,0.51,0.46,0.41,0.43,0.43,0.45,0.56,0.48,0.47,0.38,0.47,0.39,0.44,0.49,0.5,0.53,0.43,0.58,0.47,0.51,0.4,0.47,0.42,0.43,0.53,0.4
0.58,0.55,0.5,0.71,0.62,0.65,0.62,0.57,0.63,0.59,0.54,0.58,0.54,0.62,0.63,0.68,0.64,0.59,0.64,0.6,0.65,0.61,0.65,0.68,0.62,0.63,0.54,0.62,0.61,0.61,0.68,0.69
0.58,0.59,0.59,0.64,0.58,0.69,0.58,0.63,0.58,0.76,0.63,0.54,0.68,0.68,0.6,0.62,0.68,0.48,0.54,0.69,0.52,0.6,0.56,0.65,0.6,0.64,0.5,0.62,0.55,0.64,0.61,0.57
0.65,0.8,0.72,0.73,0.76,0.76,0.76,0.63,0.68,0.81,0.75,0.7,0.67,0.78,0.74,0.81,0.72,0.68,0.72,0.76,0.73,0.75,0.68,0.78,0.72,0.75,0.73,0.69,0.67,0.76,0.75,0.72
0.71,0.61,0.64,0.68,0.76,0.71,0.67,0.66,0.62,0.77,0.68,0.71,0.7,0.75,0.65,0.71,0.68,0.67,0.67,0.71,0.63,0.71,0.66,0.71,0.63,0.7,0.68,0.69,0.62,0.6,0.69,0.66
0.77,0.7,0.69,0.75,0.74,0.74,0.75,0.68,0.67,0.75,0.72,0.72,0.71,0.7,0.71,0.74,0.78,0.76,0.8,0.71,0.7,0.76,0.8,0.7,0.68,0.77,0.76,0.75,0.71,0.76,0.81,0.72
0.59,0.49,0.56,0.68,0.62,0.62,0.67,0.57,0.62,0.59,0.63,0.54,0.63,0.58,0.6,0.6,0.6,0.47,0.56,0.57,0.67,0.64,0.54,0.65,0.54,0.65,0.64,0.62,0.58,0.58,0.65,0.56
0.47,0.61,0.54,0.63,0.6,0.55,0.58,0.62,0.55,0.69,0.68,0.55,0.61,0.65,0.61,0.61,0.61,0.67,0.6,0.6,0.61,0.67,0.54,0.49,0.58,0.65,0.63,0.64,0.59,0.62,0.61,0.63
0.52,0.58,0.59,0.6,0.55,0.69,0.6,0.64,0.53,0.6,0.6,0.61,0.58,0.58,0.62,0.61,0.57,0.61,0.67,0.54,0.55,0.68,0.53,0.56,0.62,0.61,0.6,0.65,0.61,0.62,0.61,0.69
0.61,0.59,0.61,0.71,0.55,0.65,0.58,0.57,0.62,0.6,0.57,0.64,0.65,0.64,0.68,0.68,0.69,0.57,0.62,0.6,0.63,0.69,0.6,0.64,0.6,0.59,0.62,0.66,0.6,0.65,0.66,0.62
0.42,0.53,0.47,0.6,0.62,0.5,0.6,0.48,0.46,0.67,0.51,0.5,0.44,0.51,0.6,0.6,0.54,0.51,0.63,0.42,0.5,0.58,0.48,0.51,0.5,0.68,0.48,0.55,0.58,0.48,0.58,0.53
0.67,0.7,0.72,0.68,0.71,0.75,0.83,0.67,0.67,0.77,0.82,0.75,0.7,0.66,0.71,0.7,0.7,0.75,0.68,0.79,0.72,0.75,0.69,0.71,0.69,0.79,0.62,0.76,0.73,0.76,0.73,0.73
0.54,0.56,0.59,0.6,0.57,0.53,0.55,0.57,0.52,0.62,0.64,0.53,0.55,0.5,0.5,0.53,0.55,0.52,0.48,0.56,0.5,0.54,0.53,0.56,0.52,0.53,0.51,0.5,0.54,0.52,0.53,0.53
0.65,0.64,0.66,0.61,0.6,0.64,0.77,0.54,0.5,0.64,0.71,0.64,0.67,0.71,0.69,0.66,0.75,0.62,0.65,0.62,0.65,0.64,0.63,0.71,0.69,0.64,0.64,0.58,0.67,0.69,0.7,0.63
